# for hakata weekday
hakata,wd,4,57
hakata,wd,5,24
hakata,wd,5,45
hakata,wd,6,6
hakata,wd,6,24
hakata,wd,6,30
hakata,wd,6,41
hakata,wd,6,55
hakata,wd,7,8
hakata,wd,7,28
hakata,wd,7,39
hakata,wd,7,49
hakata,wd,8,0
hakata,wd,8,18
hakata,wd,8,30
hakata,wd,8,43
hakata,wd,8,54
hakata,wd,9,7
hakata,wd,9,36
hakata,wd,10,1
hakata,wd,10,33
hakata,wd,10,51
hakata,wd,11,13
hakata,wd,11,29
hakata,wd,11,50
hakata,wd,12,13
hakata,wd,12,29
hakata,wd,12,50
hakata,wd,13,13
hakata,wd,13,31
hakata,wd,13,50
hakata,wd,14,13
hakata,wd,14,29
hakata,wd,14,50
hakata,wd,15,13
hakata,wd,15,29
hakata,wd,15,38
hakata,wd,15,50
hakata,wd,16,2
hakata,wd,16,32
hakata,wd,16,51
hakata,wd,17,2
hakata,wd,17,33
hakata,wd,17,48
hakata,wd,17,57
hakata,wd,18,3
hakata,wd,18,33
hakata,wd,18,50
hakata,wd,19,20
hakata,wd,19,36
hakata,wd,19,58
hakata,wd,20,26
hakata,wd,20,50
hakata,wd,21,6
hakata,wd,21,28
hakata,wd,21,48
hakata,wd,22,3
hakata,wd,22,17
hakata,wd,22,29
hakata,wd,22,46
hakata,wd,23,1
hakata,wd,23,28
hakata,wd,23,54
# for hakata saturday
hakata,st,4,57
hakata,st,5,24
hakata,st,5,45
hakata,st,6,6
hakata,st,6,24
hakata,st,6,41
hakata,st,6,55
hakata,st,7,8
hakata,st,7,28
hakata,st,7,39
hakata,st,7,49
hakata,st,8,0
hakata,st,8,18
hakata,st,8,30
hakata,st,8,43
hakata,st,8,54
hakata,st,9,7
hakata,st,9,36
hakata,st,10,1
hakata,st,10,33
hakata,st,10,51
hakata,st,11,13
hakata,st,11,29
hakata,st,11,50
hakata,st,12,13
hakata,st,12,29
hakata,st,12,50
hakata,st,13,13
hakata,st,13,31
hakata,st,13,50
hakata,st,14,13
hakata,st,14,29
hakata,st,14,50
hakata,st,15,13
hakata,st,15,29
hakata,st,15,38
hakata,st,15,50
hakata,st,16,2
hakata,st,16,32
hakata,st,16,51
hakata,st,17,2
hakata,st,17,33
hakata,st,17,48
hakata,st,17,57
hakata,st,18,3
hakata,st,18,33
hakata,st,18,50
hakata,st,19,20
hakata,st,19,36
hakata,st,19,58
hakata,st,20,26
hakata,st,20,50
hakata,st,21,6
hakata,st,21,28
hakata,st,21,48
hakata,st,22,3
hakata,st,22,17
hakata,st,22,29
hakata,st,22,46
hakata,st,23,1
hakata,st,23,28
hakata,st,23,54
# for hakata holiday
hakata,hd,4,57
hakata,hd,5,24
hakata,hd,5,45
hakata,hd,6,6
hakata,hd,6,24
hakata,hd,6,41
hakata,hd,6,55
hakata,hd,7,8
hakata,hd,7,28
hakata,hd,7,39
hakata,hd,7,49
hakata,hd,8,0
hakata,hd,8,18
hakata,hd,8,30
hakata,hd,8,43
hakata,hd,8,54
hakata,hd,9,7
hakata,hd,9,36
hakata,hd,10,1
hakata,hd,10,33
hakata,hd,10,51
hakata,hd,11,13
hakata,hd,11,29
hakata,hd,11,50
hakata,hd,12,13
hakata,hd,12,29
hakata,hd,12,50
hakata,hd,13,13
hakata,hd,13,31
hakata,hd,13,50
hakata,hd,14,13
hakata,hd,14,29
hakata,hd,14,50
hakata,hd,15,13
hakata,hd,15,29
hakata,hd,15,38
hakata,hd,15,50
hakata,hd,16,2
hakata,hd,16,32
hakata,hd,16,51
hakata,hd,17,2
hakata,hd,17,33
hakata,hd,17,48
hakata,hd,17,57
hakata,hd,18,3
hakata,hd,18,33
hakata,hd,18,50
hakata,hd,19,20
hakata,hd,19,36
hakata,hd,19,58
hakata,hd,20,26
hakata,hd,20,50
hakata,hd,21,6
hakata,hd,21,28
hakata,hd,21,48
hakata,hd,22,3
hakata,hd,22,17
hakata,hd,22,29
hakata,hd,22,46
hakata,hd,23,1
hakata,hd,23,28
hakata,hd,23,54
# for kokura weekday
kokura,wd,6,5
kokura,wd,6,18
kokura,wd,6,30
kokura,wd,6,45
kokura,wd,7,0
kokura,wd,7,15
kokura,wd,7,21
kokura,wd,7,32
kokura,wd,7,37
kokura,wd,7,48
kokura,wd,7,59
kokura,wd,8,13
kokura,wd,8,20
kokura,wd,8,25
kokura,wd,8,34
kokura,wd,8,40
kokura,wd,8,56
kokura,wd,9,3
kokura,wd,9,16
kokura,wd,9,31
kokura,wd,9,51
kokura,wd,10,1
kokura,wd,10,15
kokura,wd,10,32
kokura,wd,10,45
kokura,wd,11,17
kokura,wd,11,25
kokura,wd,11,44
kokura,wd,12,12
kokura,wd,12,27
kokura,wd,12,44
kokura,wd,13,12
kokura,wd,13,31
kokura,wd,13,44
kokura,wd,14,12
kokura,wd,14,27
kokura,wd,14,44
kokura,wd,15,11
kokura,wd,15,27
kokura,wd,15,44
kokura,wd,16,11
kokura,wd,16,27
kokura,wd,16,44
kokura,wd,17,9
kokura,wd,17,26
kokura,wd,17,45
kokura,wd,18,10
kokura,wd,18,34
kokura,wd,18,48
kokura,wd,19,10
kokura,wd,19,25
kokura,wd,19,48
kokura,wd,20,13
kokura,wd,20,27
kokura,wd,20,49
kokura,wd,21,15
kokura,wd,21,38
kokura,wd,21,55
kokura,wd,22,14
kokura,wd,22,43
kokura,wd,23,2
kokura,wd,23,32
kokura,wd,23,53
kokura,wd,24,25
# for kokura saturday
kokura,st,6,5
kokura,st,6,18
kokura,st,6,30
kokura,st,6,45
kokura,st,7,0
